📺海外专用,#genre#
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰香港,https://live.hkdvb.com/hls/live/85.m3u8?token=809688637328974
CCTV-1,http://hg.130707.xyz/6000000001000029752/wasusyt/index.m3u8
CCTV-1,http://hg.130707.xyz/1000000001000018602/ystenlive/index.m3u8
CCTV-1,http://hg.130707.xyz/5000000004000002226/bestzb/index.m3u8
CCTV-1,http://hg.130707.xyz/1000000005000265001/ystenlive/index.m3u8
CCTV-1,http://hg.130707.xyz/5000000010000030810/bestzb/index.m3u8
CCTV-1,http://hg.130707.xyz/1000000001000021973/ystenlive/index.m3u8
CCTV-1,https://www.freetv.top/migu/608807420.m3u8?migutoken=cbd9bb3759d38d3652974302229310a81d838e2aaad92158f4e0c3a3c25bc89904b11283fd79ac8717e67e9e55fc070fe39bc80f3a7b9b3ac6f75dd65808286167f7abb5bd02ff5d1a6f96f712
CCTV-1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV-1,http://goo.bkpcp.top/mg/cctv1
CCTV-1,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv1
CCTV-2,http://hg.130707.xyz/6000000001000014161/wasusyt/index.m3u8
CCTV-2,http://hg.130707.xyz/1000000001000023315/ystenlive/index.m3u8
CCTV-2,http://hg.130707.xyz/5000000011000031101/bestzb/index.m3u8
CCTV-2,http://hg.130707.xyz/1000000005000265002/ystenlive/index.m3u8
CCTV-2,http://hg.130707.xyz/1000000001000012442/ystenlive/index.m3u8
CCTV-2,https://www.freetv.top/migu/631780532.m3u8?migutoken=67bd49238c0c7ffc5cf26f0de296efea1198688f4fc2f900a0af7c9b06c08b8f07ef33b670dc3c9b4aeb7296212181cf5a2ac95f349f973b0659fc3ea1a6c32cdc07badf1011d068511ee5d575
CCTV-2,http://goo.bkpcp.top/mg/cctv2
CCTV-2,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv2
CCTV-2,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv2
CCTV-3,http://hg.130707.xyz/6000000001000022313/wasusyt/index.m3u8
CCTV-3,http://hg.130707.xyz/1000000001000013682/ystenlive/index.m3u8
CCTV-3,http://hg.130707.xyz/5000000004000008883/bestzb/index.m3u8
CCTV-3,http://hg.130707.xyz/1000000005000265003/ystenlive/index.m3u8
CCTV-3,http://hg.130707.xyz/5000000002000020548/bestzb/index.m3u8
CCTV-3,http://hg.130707.xyz/1000000001000011218/ystenlive/index.m3u8
CCTV-3,https://www.freetv.top/migu/624878271.m3u8?migutoken=ab33b04d2f873c3cb79a432e8b7a1c5706f71515980f7fa2fc830e3a237feef296ee6c66b8334447aeb9877860a3c2aab4a3af500dab26fd70fb0881b5ad13dee7bc648835c85ac1025da40409
CCTV-3,http://goo.bkpcp.top/mg/cctv3
CCTV-3,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv3
CCTV-3,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv3
CCTV-4,http://hg.130707.xyz/5000000011000031102/bestzb/index.m3u8
CCTV-4,http://hg.130707.xyz/1000000005000265004/ystenlive/index.m3u8
CCTV-4,http://hg.130707.xyz/1000000002000031664/ystenlive/index.m3u8
CCTV-4,http://hg.130707.xyz/5000000005000030093/bestzb/index.m3u8
CCTV-4,https://www.freetv.top/migu/631780421.m3u8?migutoken=ce0a014e7ae2b69baf815cae456d18d99488d1a68239f301151b6116562ed9e7f561ac2f7ade6d7f2606bbe89c7b3d1823dad64fc33d2810a2db2d242b6eb0d3604d07c293cc8e5c474e6d00b8
CCTV-4,https://www.freetv.top/migu/608807419.m3u8?migutoken=211325ca6c96361d5ca8328c88616a1ba802b5c3c8232a626ce8402186d91b84240c29efae0372f151b5bf38e407f1e4f8956b660644a314a1d621edf8c06238fe6a4d375fafd0506e71605f95
CCTV-4,http://goo.bkpcp.top/mg/cctv4
CCTV-4,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv4
CCTV-4,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv4a
CCTV-4,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv4
CCTV-5,http://hg.130707.xyz/1000000005000025222/ystenlive/index.m3u8
CCTV-5,http://hg.130707.xyz/6000000001000016431/wasusyt/index.m3u8
CCTV-5,http://hg.130707.xyz/1000000003000030177/ystenlive/index.m3u8
CCTV-5,http://hg.130707.xyz/5000000004000008885/bestzb/index.m3u8
CCTV-5,http://hg.130707.xyz/1000000005000265005/ystenlive/index.m3u8
CCTV-5,http://hg.130707.xyz/5000000010000016619/bestzb/index.m3u8
CCTV-5,http://hg.130707.xyz/1000000001000004794/ystenlive/index.m3u8
CCTV-5,https://www.freetv.top/migu/641886683.m3u8?migutoken=9fb2a160b66a2d5c217fac3d7edddaa34529a195b10238ef3536f75ddde87452f71d67999d6ee4b9a150fda622bc8935b01062727f597191e2b773930b406f8e87cdc623a47a343adf58e295a0
CCTV-5,https://live.hkdvb.com/hls/live/701.m3u8?token=809688637328974
CCTV-5,http://goo.bkpcp.top/mg/cctv5
CCTV-5,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv5
CCTV-5,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv5
CCTV-5+,http://hg.130707.xyz/6000000001000015875/wasusyt/index.m3u8
CCTV-5+,http://hg.130707.xyz/1000000001000018504/ystenlive/index.m3u8
CCTV-5+,http://hg.130707.xyz/5000000011000031127/bestzb/index.m3u8
CCTV-5+,http://hg.130707.xyz/1000000005000265016/ystenlive/index.m3u8
CCTV-5+,http://hg.130707.xyz/1000000001000020505/ystenlive/index.m3u8
CCTV-5+,https://www.freetv.top/migu/641886773.m3u8?migutoken=e99ac4fc356fd9e2bbb104cdd5d4ebfcef59aae10c9a8eeeef91510482720816da1709a51abf66d7d4e708e8f3c9ed96ad9871723837bfcc145ad500d99c5627b3a7e247503e59a052e262656e
CCTV-5+,https://live.hkdvb.com/hls/live/702.m3u8?token=809688637328974
CCTV-5+,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv5p
CCTV-6,http://hg.130707.xyz/6000000001000004574/wasusyt/index.m3u8
CCTV-6,http://hg.130707.xyz/1000000001000001737/ystenlive/index.m3u8
CCTV-6,http://hg.130707.xyz/5000000004000008886/bestzb/index.m3u8
CCTV-6,http://hg.130707.xyz/1000000005000265006/ystenlive/index.m3u8
CCTV-6,http://hg.130707.xyz/5000000010000018433/bestzb/index.m3u8
CCTV-6,http://hg.130707.xyz/1000000001000016466/ystenlive/index.m3u8
